"","word","length","frequency","ageOfAcquisition","valence","arousal","dominance","ReactionTime","concreteness","polysemy","information","phonologicalDensity"
"7316","birthday",6,352,2.85,6.37,4.6,6.07,-0.528267825459755,3.2,2,6.973,1
"7318","birthmark",7,20,6.85,4.6,3,4.24,0.180792294416118,4.35,1,15.073,1
"7320","birthplace",8,37,6.9,6.95,3.41,4.85,-0.0244522250696289,3.46,2,10.11,0
"7324","birthright",7,19,13.37,5.63,4.58,6.75,0.742266752876275,2.34,3,11.71,1
"7327","biscuit",7,88,4.63,6.45,2.91,6.26,-0.500204651522662,4.9,2,8.689,3
"7339","bishop",6,472,10.5,4.53,3.77,4.82,-0.442739573549285,4.21,3,9.275,1
"7346","bisque",5,1,14,5.42,2.78,5.19,0.577892167186362,4.08,1,5.163,10
"7347","bistro",7,11,11.79,5.95,4.33,5.18,0.265851976227285,4.44,1,4.883,1
"7349","bit",4,4135,6.47,5.05,3.86,5.53,-0.858547033048851,3.27,11,5.812,46
"7352","bitch",4,260,10.11,2.55,5.95,3.65,-0.652072836724666,3.72,4,8.29,31
"7363","bite",4,187,3.58,3.52,5.1,6.58,-0.714936038920688,4.44,9,9.494,37
"7383","bitter",6,26,8.81,3.63,4.64,4.58,-0.573513198318084,2.93,3,11.425,22
"7410","biz",4,9,9.93,4.7,4.42,5.27,0.551933249723077,2.38,1,4.989,36
"7424","black",5,601,3.56,5.4,3.58,5.48,-0.611210246841184,3.76,7,6.565,17
"7446","blackbird",8,27,6.11,5.62,3.5,5.04,-0.164399494039578,5,2,7.53,1
"7448","blackboard",8,96,5.42,4.95,4,6,0.0565203427057397,4.72,1,10.64,1
"7487","blackjack",8,8,10.39,5,5.05,5,0.328986272697974,3.93,4,5.444,0
"7500","blacklist",9,3,11.76,3.45,4,3.21,0.60029932605683,2.96,1,11.885,0
"7508","blackmail",8,168,10.05,2.59,5.44,3.98,-0.365619058403551,2.78,1,10.699,1
"7525","blackness",8,94,7,3.82,4.52,5.23,0.0984449200819646,3.54,2,12.65,2
"7526","blackout",7,32,9.68,3.73,4.89,2.76,-0.582154313645907,3.73,5,9.659,2
"7540","blacksmith",9,30,9.84,5.58,3.24,6,-0.352794360901366,4.38,1,12.146,0
"7549","bladder",7,102,10.78,4.58,3.78,5.53,-0.403921847136679,4.48,2,8.473,5
"7551","blade",5,205,6.72,3.9,4.52,4.56,-0.393055679853626,4.93,9,7.264,19
