"","word","length","frequency","ageOfAcquisition","valence","arousal","dominance","ReactionTime","concreteness","polysemy","information","phonologicalDensity"
"55657","murmur",6,94,11.22,4.57,4.08,4.36,-0.00734305098079968,3.19,4,11.595,6
"55670","muscle",5,566,8.45,6.15,4.55,6.81,-0.437918934870434,4.5,5,7.062,12
"55687","muse",5,16,11.94,6.3,4.75,6.12,-0.434222976148372,2.45,2,7.057,14
"55692","museum",7,548,8.55,6.67,3.74,5.4,-0.145347636248129,4.6,1,5.283,1
"55696","mush",4,24,5.78,4.05,3.21,4.79,-0.148622109850932,3.67,4,11.425,19
"55700","mushroom",7,90,6.44,5.61,3.14,5.5,-0.401067673292794,4.83,5,7.689,1
"55707","music",7,2391,3.81,7.67,5.57,6.5,-0.647284513286703,4.31,5,4.231,6
"55730","musk",5,28,10.94,4.5,2.45,4.56,-0.0325164834646154,3.44,2,4.326,12
"55732","musket",7,11,10.17,4.13,4,4.64,0.121063185802964,4.67,1,12.682,2
"55742","muskrat",8,2,10.39,4.15,3.5,4.32,1.19481495262015,4.96,2,7.268,2
"55760","must",5,0,4.58,5.45,4.1,5.06,-0.414307832213176,2.13,3,6.772,17
"55764","mustang",7,11,9.47,6.32,6.14,6,0.454350057764024,4.89,1,6.12,2
"55766","mustard",7,84,4.95,4.74,3.39,5.69,-0.508091141493912,4.93,3,7.031,7
"55770","muster",7,3,12.22,4.67,3.65,5.41,0.333975951891577,2.03,2,10.82,12
"55788","mutant",7,8,10,5.06,4.61,4.53,-0.186090691315643,4.2,2,9.393,2
"55797","mute",5,1,9.84,3.95,2.45,4.18,-0.413656988669787,3.24,2,9.494,7
"55823","mutt",4,3,7.22,4.84,4.14,4.5,0.0292391956205962,3.89,1,8.626,35
"55824","mutter",6,11,9.5,4.4,3.67,5.57,0.439200512186565,3.21,2,7.989,26
"55848","muzzle",5,48,8.44,3.95,4.65,3.54,-0.0412863789423081,4.59,4,13.113,9
"55870","myriad",6,12,11.94,5.52,3.52,5.41,0.341095390728025,2.12,2,13.15,2
"55886","mystic",7,24,10.62,6.12,4.52,4.7,-0.00706741848664652,2.59,1,8.181,5
"55898","mystique",7,58,11.89,6.52,5.67,5.32,-0.00521123984910563,1.67,1,7.695,5
"55900","myth",4,356,8.61,6.11,4,5.38,-0.43888385642257,2.17,1,9.696,28
"55925","nag",4,5,9.21,2.3,4.72,3.96,0.0542310319045517,3.03,2,10.133,28
"55940","nail",4,180,5.42,4.6,3.05,5.17,-0.640106783177555,4.93,3,8.184,32
"55974","name",4,4736,3.68,5.62,3.04,5.14,-0.678089209536579,3.5,6,5.019,22
"56005","nanny",5,147,6.67,5.86,4.05,5.42,-0.373575684049756,4.21,2,8.019,12
"56008","nap",4,81,2.53,6.53,4.14,5.91,-0.45717380023352,4.03,5,10.233,32
"56016","napkin",7,84,4.79,5.63,3.09,5.21,-0.425783800353132,4.93,2,8.971,1
"56078","nasal",5,0,8.75,4.26,3.38,4.3,0.372971513411797,3.83,2,9.229,7
"56097","nation",5,995,7.74,6,4.78,4.74,-0.533876242915466,3.62,4,8.243,4
"56137","native",6,35,9.2,5.85,3.05,6.05,-0.529909105272181,3.03,3,9.385,1
"56155","natural",7,57,8.5,6.42,3.67,5.16,-0.507560327840861,1.85,3,8.274,2
"56180","nature",6,3353,6.16,6.88,4,5,-0.619258381427785,2.92,5,7.495,5
"56201","nausea",6,74,8.63,1.68,4.59,2.95,0.16077682007788,3.36,2,9.182,0
"56222","navel",5,61,9.6,4.89,3.36,5.5,0.00943904373563012,4.71,2,5.758,4
"56239","navy",5,305,7.15,5.38,3.64,5.07,-0.254839135000403,3.93,3,7.807,7
"56317","neck",4,1299,3,5.44,3.65,5.17,-0.749537544563359,5,5,6.825,25
"56327","necklace",7,41,5,6.85,3.52,5.64,-0.429143400633201,4.96,1,4.335,3
"56335","necktie",6,25,6.63,4.84,2.62,4.87,0.507890623155436,4.96,1,7.722,3
"56349","nectar",7,37,8.95,6.8,3.95,5.83,-0.226486301080316,4.63,3,6.266,9
"56353","need",4,3002,3.56,5.45,3.67,5.06,-0.577752426847485,1.69,4,5.696,29
"56362","needle",5,170,5.32,3.97,4.36,5.12,-0.667982870686051,4.93,4,9.767,7
"56381","needy",5,10,7.32,2.9,4.68,4.27,-0.283472089996328,2.28,1,10.434,9
"56405","neglect",8,152,9.84,2.16,4.72,3.69,-0.374411143876932,2.26,5,6.577,1
"56472","neon",5,93,8,6.48,4.56,5.62,-0.329317699404252,4.07,1,7.016,5
"56489","nephew",6,136,6.37,6.75,4.33,5.94,-0.302684921828553,4.48,1,9.784,1
"56497","nerve",4,257,9.67,4.45,5.27,5.42,-0.679709316055757,3.89,3,7.72,14
"56525","nest",5,237,5.11,5.65,3.35,5.5,-0.535768661355412,4.86,5,9.979,24
"56546","net",4,290,7,5,3,4.61,-0.686357399000998,4.53,6,7.341,32
"56570","network",7,434,10.94,5.05,4.43,5.39,-0.449016955281689,3.2,5,5.206,2
"56588","neuter",7,0,11.12,4.11,4.9,4.21,0.618734014615586,3.11,1,4.869,16
"56595","neutral",8,11,10.19,5.5,3.45,5.81,-0.385985009294731,1.8,1,9.147,2
"56608","neutron",8,168,11.43,6.62,4.47,4.78,0.118921105329451,2.69,1,10.578,1
"56645","news",5,2082,6.16,4.96,4.61,4.48,-0.514520109776726,3.41,5,3.425,34
"56652","newscast",9,3,7.2,5.43,4.74,4.8,0.450994065378971,4.26,1,10.048,4
"56660","newsflash",9,4,9.22,5.26,4.64,4.52,0.623916106850506,3.82,1,6.155,0
"56678","newsreel",8,8,10.39,5.47,4.86,5.57,0.383256164364219,4.48,1,11.029,1
"56680","newsroom",8,23,8.89,4.83,4.11,4.94,0.356596664706436,4.54,3,5.237,1
"56684","newsstand",10,7,9.74,5.79,3.22,5.05,0.828207677463758,4.71,1,8.426,1
"56690","newt",5,11,7.56,4.65,3.64,5.59,0.0443920438371446,4.17,1,9.151,27
"56718","nexus",7,9,14.59,5.57,3.96,5.42,0.702695455237893,2.73,2,8.518,2
"56724","nibble",5,3,7.37,6.3,3.96,6.05,-0.200256758933821,3.72,2,13.625,10
"56744","niche",4,67,14.06,5.75,3.43,5.18,-0.0540875068335913,2.52,4,10.354,18
"56749","nickel",5,37,5.75,5.62,4.22,5,0.11377045584097,4.79,3,7.619,10
"56763","nickname",7,66,6.5,6.14,4.38,5.7,-0.364956120044864,2.97,2,8.948,2
"56772","niece",4,86,7,6.52,3.95,5.36,-0.340880364494983,4.28,1,11.09,21
"56793","nigger",6,37,8.29,1.67,6.81,2.96,0.163366737854683,3.5,1,5.64,11
"56804","night",4,7671,3.61,6.68,3.57,5.22,-0.872313190052837,4.52,8,5.494,27
"56813","nightclub",8,24,10.74,5.32,5.08,5.57,-0.148026834039372,4.96,1,9.734,1
"56817","nightfall",7,54,8.17,6.63,4,3.8,0.0088073311176549,3.79,1,9.617,0
"56828","nightlife",7,12,10.78,5.95,6.36,6.09,-0.182044756861649,3.17,2,7.492,0
"56837","nightmare",7,234,5.94,1.79,5.83,3.21,-0.36536069973757,2.96,2,9.478,1
"56859","nightstick",8,6,9.82,3.79,4.81,4.32,0.493246238524748,4.74,1,14.259,1
"56863","nighttime",7,27,3.72,6.18,3.91,4.78,0.479288342266114,3.86,1,11.192,1
"56889","nine",4,0,3.23,5.1,3.83,5.21,-0.45755987017286,4.04,3,9.142,30
"56911","ninety",6,0,6.69,4.65,3.28,5.36,-0.205960405235911,3.39,1,9.839,2
"56919","nip",4,11,7.94,5.25,4.39,4.68,-0.29204453301763,3.43,6,7.621,27
"56937","nipple",5,111,9.05,5.73,5.88,5.64,-0.310201209632717,4.83,2,6.588,6
"56960","nitrate",7,44,14.12,5,4,5.12,0.41172741229312,2.96,1,8.419,1
"56975","nix",5,3,11.88,4,3.89,3.9,1.8495326428447,1.82,1,3.218,24
"57001","noble",5,6,10.67,7.16,4.14,6.71,-0.119965578471184,1.89,1,8.58,6
"57030","nod",4,123,5.62,5.05,2.92,6.1,-0.487747211461091,4.62,2,9.916,26
"57040","node",4,9,12.17,4.84,3.5,5.62,0.142450748242517,4,8,8.906,30
"57061","noise",4,1142,4.5,3.36,5.75,5.47,-0.830893067233828,3.52,6,8.377,13
"57085","nomad",6,22,11.12,4.71,3.17,5.3,0.422895107615852,4.1,1,7.664,1
"57174","nonsense",8,484,6.95,4,4.52,4.74,-0.348614333831558,2.38,2,9.668,0
"57200","noodle",5,6,3.44,6.48,3.09,5.48,-0.385931620283037,4.71,2,6.536,5
"57202","nook",4,14,9.74,6.33,2.8,5.47,0.263952928973949,4.37,2,6.566,18
"57204","noon",4,290,5.89,5.38,2.87,6.22,-0.444583942620217,2.67,1,6.743,27
"57210","noose",4,26,8.28,2.43,5.38,3.99,0.378643814635812,4.52,2,8.304,20
"57230","norm",4,122,9.84,5.56,3.06,5.06,0.147519976397297,2.11,2,10.541,9
"57232","normal",5,34,5.53,6.17,2.29,6.39,-0.707302922442283,1.4,1,9.238,4
"57255","north",4,806,6.55,5.72,2.15,5,-0.339106404122917,4.14,7,5.942,6
"57257","northeast",8,10,7.47,5.5,3.65,5.9,0.333376554604255,3.83,4,8.73,0
"57284","northwest",9,13,8.22,5.81,2.71,4.9,0.283941156111391,3.59,4,6.627,0
"57300","nose",4,1307,2.95,5.5,3.1,4.61,-0.627977896014817,4.89,8,8.745,39
"57306","nosebleed",8,6,5.32,3.16,5.27,3.5,0.619041453988901,4.43,1,6.05,0
"57357","nostril",8,32,7.37,3.58,3.43,4.58,-0.140117785086057,4.89,1,12.127,0
"57386","notch",4,28,8.47,5.32,2.95,4.8,0.0248120866776578,4.23,4,7.184,12
"57392","note",4,1183,6.4,5.78,3.33,5.28,-0.574351162910285,4.61,9,7.04,33
"57394","notebook",7,137,6.37,6.05,3.58,6.12,-0.496743833768464,4.92,2,5.964,1
"57409","notice",6,844,7.35,5.94,3.38,5.11,-0.781123350676172,3.3,7,4.902,5
"57427","notion",5,653,11.11,5.86,4.25,5.42,-0.397147757391894,1.93,4,10.421,6
"57442","noun",4,18,7.28,5.22,2.37,5.28,-0.332573060285516,3.15,2,8.601,13
"57456","novel",5,495,9.5,5.74,3.41,5.09,-0.574774226821567,4.21,2,9.238,4
"57472","novice",6,62,10.95,5.1,4,5.6,-0.178434035424659,2.68,2,11.412,2
"57492","nuance",7,24,11.05,5.47,4.55,4.58,0.281422133084795,1.85,1,10.052,2
"57507","nucleus",8,135,11.4,5.59,3.65,4.32,0.333385308186914,3.48,6,9.505,0
"57508","nude",5,42,8.21,6.1,5.86,6.05,-0.444106711395081,4.28,4,4.36,25
"57511","nudge",4,19,11.05,5.67,4.33,4.95,-0.359851780476313,4.47,1,4.239,9
"57518","nudist",8,5,10.94,6,6.05,5.05,0.0592282493842518,4.66,1,6.935,0
"57523","nugget",6,9,7.32,6.29,3.32,4.93,-0.314780455638512,4.45,1,6.698,0
"57525","nuisance",7,188,9.59,3,4.7,3.79,-0.0226676903877831,2.19,2,10.795,0
"57544","number",7,5715,3.94,5.59,3.5,6.13,-0.418907034439373,3.3,11,5.293,3
"57593","nun",4,96,8.39,5.79,2.43,4.53,-0.299668459122325,4.92,3,8.657,32
"57601","nurse",4,556,5.84,5.41,4.64,5.58,-0.67617742476545,4.39,2,7.901,16
"57617","nursing",6,214,8.21,6.39,3.57,5.05,-0.275766074228027,3.76,3,6.926,2
"57622","nurture",6,12,10.94,7.14,4.12,6.29,-0.0882832323002673,2.24,2,11.37,4
"57628","nut",4,123,5.21,5.44,4.24,4.56,-0.481255099419691,4.52,7,7.212,30
"57638","nutmeg",7,42,8.83,5.76,3.24,6.04,-0.0282378280231321,4.69,2,7.081,0
"57653","nutshell",7,24,6.67,5.05,3.95,5.73,-0.215634482432528,4.29,1,8.446,0
"57664","nylon",6,214,10,4.9,3.61,5.19,-0.0620864835242793,4.7,2,6.782,3
"57666","nymph",5,54,11.21,5.42,5.32,4.5,0.0240907388717232,3.58,3,6.946,2
"57685","oak",3,254,7.35,6.47,2.64,5.91,-0.734053693659123,4.82,2,6.437,29
"57692","oar",3,7,5.83,5.15,2.72,6.38,-0.391973042633545,4.84,1,11.169,43
"57707","oat",3,8,5.83,5.67,2.82,5.32,-0.578453460960538,5,2,8.259,28
"57710","oath",3,94,11.39,6.4,4,6.47,-0.492450518765186,2.79,3,7.982,15
"57712","oatmeal",6,37,4.5,5.47,3.1,5.65,-0.125387713454028,4.93,2,8.5,0
"57747","object",7,1008,7.94,5.52,4.08,5.91,-0.845562386987793,3.66,5,8.444,4
"57799","oblique",6,1,12.89,4.57,3.18,5.6,-0.148738843832039,3.15,2,2.444,1
"57952","occult",6,13,12.65,3.5,4.63,4.64,0.168346537782775,2.59,2,9.989,2
"57981","ocean",4,436,4.74,7.39,3.5,5.88,-0.80636116532953,4.86,2,6.429,10
"58019","oddball",6,4,8.86,6.17,3.55,4.11,-0.0189595687225432,2.74,1,12.507,1
"58033","odds",4,296,8.58,5.32,4.39,5.32,-0.58438706804269,2.24,2,6.119,14
"58037","ode",3,18,10.84,5.75,2.81,4.48,0.275000087250849,2.91,1,11.533,30
"58085","offer",5,628,7.48,5.67,3.5,5.44,-0.756286782078659,2.23,3,6.731,10
"58100","office",5,4460,6.68,4.54,3.05,5.16,-0.598938802794785,4.93,7,5.509,5
"58141","offset",6,0,11.33,4.79,4.05,4.75,0.0740150823195009,2.75,6,9.62,2
"58152","offspring",8,77,11.65,5.89,4.65,6.35,-0.138129746322527,3.93,3,9.726,0
"58170","ogre",5,21,8.33,3.57,5.19,4.32,0.213882601438593,3.97,2,7.641,8
"58180","oil",3,2217,7.33,3.91,4.25,5.63,-0.919195726618489,4.93,4,6.047,23
"58231","ointment",8,46,7.9,4.81,2.86,5,-0.0356852633785097,4.5,2,5.413,0
"58244","okra",5,1,12.61,5.55,3.27,6.24,1.02786954343626,4.78,3,7.366,0
"58246","old",4,270,3.72,3.19,4.48,4.22,-0.803783444904482,2.72,1,7.778,22
"58311","olive",5,160,6.68,6.05,3.92,5.18,-0.716593818000526,4.9,5,6.945,6
"58336","omelet",6,1,6.5,6.25,3.89,6.35,0.205158177239524,4.93,1,9.934,1
"58340","omen",5,49,12.05,3.77,4.52,3.59,-0.206657425090046,2.69,1,7.871,12
"58376","one",4,34640,3.23,6.09,2.67,5.56,-0.869201564850491,3.97,2,6.287,8
"58409","onion",6,170,6.05,5.37,4.95,4.78,-0.887386560488824,4.86,3,7.247,4
"58422","onset",6,68,10.72,4.35,4.39,4.62,0.0145713657327076,2.14,2,10.091,3
"58443","oomph",4,5,9.33,5.52,4.27,5.07,0.527305714576468,1.52,2,8.174,0
"58446","ooze",3,13,7.45,3.57,5,3.44,0.0189964913550974,4,2,3.907,27
"58457","opal",4,13,9.28,6,3.14,5.26,-0.0832926347619551,4.42,1,5.966,5
"58469","open",5,635,5,6.14,4.43,6.17,-0.853151619754278,3.21,4,7.373,11
"58494","opening",6,354,6.28,5.95,4.6,6.68,-0.758192599910647,3.79,13,9.719,2
"58577","opiate",5,6,14.44,5.35,5.06,5.12,0.621257177871037,4.17,1,10.399,2
"58589","opium",6,41,12.41,3.42,3.65,4.68,0.0501258136831814,4.56,1,10.074,1
"58649","optics",7,10,12.63,6.37,3.05,5.32,-0.154204970594661,3.29,1,4.872,1
"58661","option",5,289,8.79,6.37,3.19,6.36,-0.758615828032382,2.39,3,7.401,4
"58678","oral",5,0,9.39,4.95,4.33,4.56,-0.584873135699565,3.45,1,6.91,9
"58681","orange",6,258,3.26,6.81,4.04,5.58,-0.738786302950345,4.66,5,6.879,2
"58703","orb",3,8,11.17,5,4.26,5.48,0.0969682947510997,4.12,2,5.169,11
"58704","orbit",5,174,7.95,5.95,4.26,5.06,-0.28055911431891,3.93,5,8.481,2
"58712","orchard",5,95,7.67,6.15,3.86,5.5,-0.448221762068389,4.75,1,7.198,3
"58725","orchid",5,44,9.76,7,4.11,5.58,-0.239612668178444,4.92,1,5.172,3
"58733","ordeal",5,116,10.06,3.84,5.14,4.65,-0.0552256218239141,2.04,2,11.531,1
"58735","order",5,4377,6.26,5.82,3.19,6.56,-0.724896301322694,2.79,15,5.823,8
"58786","ordnance",7,25,14,4.52,2.84,5.09,1.0131202312967,2.96,2,8.65,1
"58789","ore",3,55,11.12,5.78,2.85,4.92,0.101712090829476,4.48,2,7.245,43
"58792","organ",5,239,8.72,4.95,3.41,5.55,-0.594092587568237,4.77,6,9.255,6
"58823","orgy",4,46,13.95,5.37,7.3,5.26,0.00805642878589575,3.67,3,5.579,3
"58890","orphan",4,50,6.94,2.9,3.24,3.48,-0.21046999691922,4.04,4,9.89,6
"58968","ostrich",7,29,6.42,5.16,3.87,4.11,0.219660677117177,4.71,2,10.608,0
"58976","otter",5,167,5.47,6.95,4.42,5.19,-0.147743142719306,4.86,2,6.522,17
"58989","ounce",4,93,8.78,5.65,3.77,5.26,-0.477091855026652,3.86,3,8.395,3
"59005","outage",5,1,9.06,3.86,3.92,3,-0.272159298214258,2.83,2,8.537,3
"59007","outback",6,10,9.89,5.3,3.72,4.55,-0.222268183497438,3.56,1,8.196,0
"59026","outbreak",7,108,10.5,2.47,5.38,3.4,-0.410491291447823,3.04,1,9.572,1
"59030","outburst",7,105,11.25,4.15,6.33,4.25,-0.244562789097763,2.76,3,11.348,3
"59032","outcast",7,17,8.84,2.86,5.17,3.81,-0.400392125855514,2.62,1,9.915,5
"59042","outcome",6,346,9.53,5.62,3.68,6.37,-0.615713477002548,2.27,2,9.706,1
"59065","outdoors",7,7,4.75,6.91,3.94,6.2,-0.123009776987578,4.61,1,5.982,1
"59083","outfit",6,182,7,6.05,4.19,6.64,-0.617253619792667,4.12,3,9.127,3
"59125","outhouse",6,15,7.9,4.19,3.43,4.59,0.401581456836736,4.89,1,13.514,0
"59127","outing",5,72,7.95,6.09,5.52,6.16,-0.265737236642258,2.72,2,10.004,11
"59138","outlaw",5,8,6.33,4.1,6,4.1,-0.47937844994369,3.61,1,8.475,3
"59150","outlet",6,88,8.32,5.45,3.5,6.31,-0.160517824945587,4.31,4,5.743,2
"59152","outline",6,170,8.74,5.1,2.62,5.8,-0.599750836832078,3.61,3,9.42,2
"59162","outlook",6,202,10.65,6.15,3.43,6.12,-0.343841335917028,1.97,3,7.136,0
"59202","outpost",7,37,11.53,4.67,3.05,6.06,-0.445183367699312,4.04,3,7.078,4
"59206","output",6,517,10.72,4.85,3.67,6.21,-0.504170239728253,2.48,5,8.383,1
"59207","outrage",6,113,9.9,2.97,6.52,4.8,-0.414011529729927,2.45,4,10.447,1
"59266","outskirts",8,128,10.55,5,3.75,4.88,0.522083270264842,3.17,1,11.519,0
"59335","oval",4,18,5.95,5.14,3.5,5.54,-0.708370564130038,4.04,1,8.064,5
"59343","oven",4,321,5.67,6.16,2.95,6.04,-0.83807202490815,4.97,1,5.573,2
"59853","owl",3,54,6.21,6.3,3.57,5.02,-0.684362056560209,4.93,1,6.178,21
"59864","owner",5,570,7.5,6.38,4.71,6.59,-0.577380717000327,3.78,2,6.767,17
"59882","ox",4,79,4.72,4.95,3.82,5.81,-0.237284560964708,4.86,2,7.638,25
"59893","oxide",6,27,14.53,5.53,2.91,4.39,-0.0257087984961302,3.87,1,3.264,2
"59924","oyster",6,64,8,4.81,3.11,5.18,-0.379286853391372,4.85,3,7.824,8
"59935","ozone",5,62,12.79,5.05,4.17,5.25,-0.185139876100897,3.5,1,9.329,1
"59941","pace",4,581,8.21,5,3,6.11,-0.50018414628039,3.11,6,7.352,37
"59970","pack",4,279,6.55,5.55,4.1,6.05,-0.662464536600939,3.83,9,4.896,42
"59972","package",6,281,6.61,5.17,4.73,5.17,-0.638352598777492,4.72,3,6.352,4
"59992","packer",6,14,10,4.9,4.23,4.86,0.324356059510401,3.96,3,6.861,19
"59994","packet",6,246,8.94,5.16,3.62,5.55,-0.532758500689145,4.46,4,9.415,8
"60021","pact",5,329,9.37,5,3.73,6,-0.0422302557783205,2.52,1,7.431,25
"60023","pad",4,186,8.83,5.14,3.96,5.45,-0.520599211001729,4.43,7,5.259,36
"60029","padding",6,31,8.45,5.25,2.76,4.88,0.271186438965817,4.52,1,9.059,11
"60031","paddle",5,11,6.58,5.38,4.17,5.43,-0.179926166681504,4.8,4,10.311,11
"60052","padlock",7,24,8.84,4.8,3.33,5.16,-0.30843179380016,4.92,1,10.109,2
"60058","padre",6,14,11.39,5.84,3.57,5,1.33322100133651,4.6,2,6.266,1
"60069","pagan",6,10,13,5,5.25,4.81,0.175740005010276,2.73,3,10.293,5
"60073","page",4,1074,5.16,6.09,3.45,6.37,-0.369157737576405,4.9,6,3.133,21
"60075","pageant",7,53,10,5,4.42,4.88,0.86832184374528,4,2,6.707,2
"60100","pail",4,48,6.16,4.5,2.24,5.08,-0.0625708536101992,4.93,2,8.747,41
"60104","pain",4,1354,4.26,2,6.27,3.47,-0.694963806865425,3.5,5,7.05,42
"60120","paint",5,434,4.45,5.74,4.5,6.56,-0.755841669089947,4.79,3,8.419,18
"60124","paintbrush",9,10,6.22,6.18,3.33,5.74,0.0469405170911519,4.79,1,12.8,0
"60127","painter",7,329,5.6,6.6,3.29,5.71,-0.414268517294258,4.52,4,8.616,17
"60129","painting",7,786,5.26,6.9,3.25,7.32,-0.601030820416854,4.59,4,7.795,18
"60135","pair",4,495,5.94,5.95,3.35,6.68,-0.778342365292081,3.88,4,8.922,34
"60154","pal",4,81,5.74,6.67,3.25,5.11,-0.0963142728607772,3.93,1,5.441,33
"60155","palace",6,761,6.89,6.1,4.67,5.4,-0.315036987119333,4.57,4,5.882,9
"60174","palate",6,32,11.72,5.89,2.75,4.8,0.694316513132275,3.73,1,8.781,8
"60188","pale",4,20,6.95,4.11,3.18,4.18,-0.586857082234568,3.79,1,9.756,41
"60215","palette",6,15,10.5,5.14,3.3,5.76,0.219008783369359,4.3,3,9.126,8
"60243","pallet",6,11,12,4.73,4.05,5.95,0.236400537745802,4.59,5,10.439,8
"60267","palm",4,353,6,6.05,2.67,5.83,-0.347627359213491,4.83,4,7.185,10
"60331","pamphlet",8,175,9.5,4.37,2.7,5.12,0.327465234473727,4.61,2,11.7,1
"60335","pan",4,397,4.72,5.15,3.05,6,-0.321822537441478,4.86,4,4.267,45
"60349","pancake",7,24,4.26,7.71,4,5.53,-0.48375492507327,4.86,1,9.814,2
"60362","pancreas",8,9,12.84,4.14,2.74,5,0.491414738756765,4.79,1,10.991,0
"60365","panda",6,8,5.67,7.55,4.05,5.14,-0.468622797873367,4.75,2,5.895,5
"60388","pane",4,31,9.78,4.95,3.57,4.85,0.118882315147664,3.86,3,8.226,42
"60391","panel",5,349,9.11,4.81,2.92,5,-0.561717074288862,4.26,8,5.261,5
"60401","pang",4,47,10.5,4.94,4.5,3.88,0.349493512583201,2.7,3,7.613,32
"60413","panic",6,458,8.35,2.56,6.4,2.65,-0.730409249781773,3.04,2,9.328,5
"60446","pansy",6,6,8.32,4.1,3.96,4.05,0.165258412461443,3.89,3,9.807,6
"60447","pant",5,4,5.94,5.33,3.9,4.56,-0.470580162147916,4.38,3,3.121,24
"60460","panther",7,50,6.67,6.1,5.45,4.4,0.133964822375304,4.93,3,5.25,3
"60462","panties",7,28,5.75,6.38,5.65,4.95,-0.197868340566965,4.9,1,5.397,5
"60474","pantry",7,48,8.17,5.38,4,6.14,-0.111305208989241,4.67,1,8.984,2
"60477","pants",6,0,3.23,5.62,3.8,6.29,-0.583496015225488,4.86,3,5.139,13
"60479","panty",6,7,6.26,5.94,5,5.35,-0.0412712202034786,4.59,1,7.396,12
"60483","papa",5,102,3.05,7,4.4,6.37,-0.0342302786354612,4.43,1,6.402,9
"60494","paper",6,3128,4,5.42,3.52,5.64,-0.671134510924278,4.93,7,5.329,19
"60540","par",4,64,10.16,4.85,2.94,5.67,0.0829886322909171,2.26,2,7.57,36
"60560","parade",6,232,6.53,6.37,4.8,5.78,-0.320483784025083,4.54,3,7.16,8
"60667","parcel",5,147,10.67,5.45,4.18,5.83,-0.421377671164789,4.81,4,7.489,4
"60682","parchment",8,24,10.5,5.48,2.9,5.23,0.213951857535937,4.48,2,8.717,0
"60686","pardon",5,104,7.83,5.5,2.8,5,-0.210658780055207,2.24,3,8.734,6
"60701","parent",7,1266,4.22,6.73,4.14,5,-0.537044025320747,4.56,2,9.562,6
"60735","parish",6,205,10.79,4,3.45,5.57,-0.206725573281298,3.81,2,9.038,2
"60747","park",4,1044,4.47,7,2.7,5.56,-0.56732860686459,4.74,6,3.517,22
"60749","parka",5,16,10.32,5.84,2.72,5.86,0.71937065527737,4.65,1,3.433,8
"60756","parking",6,254,5.94,4.57,3.8,6.47,-0.476126610697902,3.85,2,7.624,7
"60809","parole",6,20,11.47,3.25,4.91,4.38,-0.116675967368968,2.66,3,8.529,5
"60825","parrot",6,45,5.58,6.79,4.65,4.25,-0.369136191944224,5,2,8.408,11
"60852","parsley",6,118,8.95,6.26,2.77,4.26,-0.126872273099374,4.77,2,5.807,4
"60861","part",4,8361,5.11,4.77,3.36,5.21,-0.507480334443411,3.29,12,6.502,24
"60907","parting",6,121,7.89,3.95,4.81,4.91,-0.397901002018007,2.79,2,12.681,8
"60935","partner",7,459,5.85,7.11,3.7,6,-0.588725882626945,3.53,3,7.435,1
"60951","partridge",7,81,8.05,5.95,3.15,4.55,-0.0158443148393306,4,5,7.231,2
"60966","party",5,6669,4.58,7.18,6.08,5.92,-0.411653912578974,3.89,5,5.47,10
"60980","pass",4,357,5.39,5.73,4.38,4.78,-0.832947713869103,2.71,16,8.132,41
"60985","passage",6,655,8.11,5.88,3.35,5.68,-0.570295744226591,3.8,10,9.74,3
"61047","passion",5,550,10.79,7.53,6.08,6.23,-0.452956965094315,2.3,7,9.264,7
"61060","passive",6,0,8.89,4.84,3.55,5.64,-0.4221774369713,2.26,1,11.559,5
"61080","passport",7,482,12.16,6,4.35,5.32,-0.691352399426958,5,3,6.513,1
"61084","password",7,23,8.83,5.5,3.71,6.39,-0.546928786293625,3.83,1,2.849,1
"61086","past",5,1871,6.78,5.09,4.71,5.18,-0.65133245061686,1.7,3,7.232,27
"61091","pasta",6,36,5.78,7.08,3.97,5.98,-0.476261698533829,4.86,2,7.282,2
"61092","paste",5,87,4.84,4.95,2.62,5.84,-0.533980355844048,4.45,4,4.356,25
"61123","pastime",7,87,11.5,5.94,2.75,5.48,0.171842314471371,2.5,1,9.9,2
"61132","pastor",7,64,6.79,5.35,3.91,5.38,0.298530794689855,4.37,2,10.902,13
"61149","pastry",7,129,7.21,6.9,4.95,5.61,-0.371471543663211,4.97,2,6.712,1
"61153","pasture",7,128,6.33,6.15,3.14,5.75,-0.245860428840124,4.78,2,11.767,4
"61167","patch",4,299,7.28,5.11,2.84,4.4,-0.660680653501758,4.7,9,7.484,28
"61192","patent",7,28,12.41,5.34,3.64,5.79,-0.234888089078322,3.32,2,9.11,4
"61220","path",4,910,6.11,5.71,3.74,4.62,-0.643568467777747,4.41,4,7.655,21
"61236","pathway",6,31,6.5,6.05,2.77,6.23,-0.351442864261786,4.28,2,7.714,1
"61238","patience",6,321,7.68,6.62,3.16,7.18,-0.509548348266953,1.66,2,9.708,3
"61239","patient",6,707,7.05,6.71,2.77,4.83,-0.423438144669212,2.5,2,9.504,4
"61267","patriot",7,49,10.14,5.8,4.86,6.09,-0.386367656529668,3.36,1,8.83,1
"61272","patrol",7,161,8.56,4.04,4.26,5.27,-0.686801698149672,3.86,3,6.239,3
"61284","patron",7,104,12.56,5.7,2.91,6.11,-0.0796878463740228,3.72,3,12.89,3
"61305","patter",6,35,9.18,5.79,3.5,5.17,0.367299724058099,2.93,2,9.21,23
"61309","pattern",6,1317,6.89,5.53,3.14,5.39,-0.575357908785996,3.92,8,7.832,6
"61328","pauper",6,13,9.44,3.95,3.33,3.85,0.359923157108765,3.8,1,12.486,6
